CategoryNum        mean             variance           SD           Smoothness       Skewness        Kurtosis       Uniformity       Entropy         Contrast      EntropyGLCM       Energy        Homogeneity 
       4      184.430590     2031.220513       45.069064        0.999508       -0.903622        0.452995        0.008793        7.146335        0.794258        0.669448        0.756841        0.985817 

       4      156.701519     3252.844906       57.033717        0.999693       -0.762503       -0.164520        0.006814        7.533644        0.930927        0.936811        0.610187        0.983376 

       4      150.529501     3532.336018       59.433459        0.999717       -0.731273       -0.265657        0.005923        7.655818        1.310498        1.014473        0.579806        0.976598 

       4      153.487998     2698.129297       51.943520        0.999630       -0.556731       -0.376971        0.007090        7.491242        1.213298        1.017422        0.573575        0.978334 

       4      153.251007     2540.759829       50.405950        0.999607       -0.506228       -0.388156        0.006163        7.550246        1.717442        1.074166        0.559714        0.969331 

       4      188.381561     4492.448649       67.025731        0.999777       -1.147893        0.085622        0.009516        7.287120        1.021315        0.882919        0.646837        0.981762 

       4      155.319629     2786.225838       52.784712        0.999641       -0.640759       -0.295092        0.006741        7.515503        1.580105        1.018463        0.588568        0.971784 

       4      180.892433     2630.439981       51.287815        0.999620       -1.144516        0.751082        0.007678        7.373054        1.072932        0.756312        0.720612        0.980841 

       5      120.151853     3201.148472       56.578693        0.999688       -0.095060       -1.054817        0.005546        7.675234        2.000097        1.242622        0.463113        0.964284 

       5      120.976944     3161.275127       56.225218        0.999684       -0.104989       -1.137629        0.005129        7.702932        2.825319        1.317899        0.445786        0.949548 

       5      122.622253     3143.200749       56.064256        0.999682       -0.206130       -1.189196        0.005443        7.641385        1.941731        1.237304        0.464122        0.965326 

       5      131.872412     3329.314408       57.700212        0.999700       -0.235443       -1.057013        0.005525        7.679310        2.431879        1.271476        0.461597        0.956574 

       5      119.940986     2546.325748       50.461131        0.999607       -0.330101       -0.961110        0.006174        7.521949        2.797298        1.314470        0.447024        0.950048 

       5      123.393947     3113.099142       55.795153        0.999679       -0.081306       -0.996967        0.004999        7.742960        3.080977        1.338417        0.441300        0.944983 

       5      134.859387     3256.318051       57.064157        0.999693       -0.324195       -1.166952        0.005556        7.635328        3.119763        1.319727        0.454658        0.944290 

       5      113.865643     3282.221534       57.290676        0.999695        0.081026       -1.045193        0.005215        7.690798        1.851148        1.226608        0.467249        0.966944 

       5      117.010308     3473.576086       58.937052        0.999712       -0.068383       -1.271743        0.005235        7.699071        2.032263        1.247569        0.461205        0.963710 

       5      109.243322     3376.864775       58.110797        0.999704        0.022223       -1.130173        0.004932        7.741666        2.578354        1.274446        0.465152        0.953958 

       5      154.688936     3425.205389       58.525254        0.999708       -0.386383       -1.037646        0.005217        7.694350        1.961039        1.158183        0.516467        0.964981 

       5      121.033473     3589.345479       59.911147        0.999721       -0.106954       -1.156750        0.004872        7.772558        2.626279        1.301266        0.449420        0.953102 

       5      109.498102     2652.585196       51.503254        0.999623        0.142794       -0.827255        0.005980        7.584877        2.438714        1.242756        0.480514        0.956452 

       6      147.096452     1912.899209       43.736703        0.999478       -0.574110        0.205482        0.006698        7.427474        4.045847        1.280578        0.504522        0.927753 

